Region,State,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
,,National Average,4.321,0.597,0.229,0.393,0.516,0.413
Region 1,Region 1,Region 1,7.53,0.66,0.24,0.492,0.599,0.445
Region 1,Connecticut,Connecticut,2.661,0.654,0.395,0.52,0.547,0.398
Region 1,Connecticut,Fairfield,1.981,0.621,0.508,0.675,0.494,0.346
Region 1,Connecticut,Hartford,1.568,0.671,0.65,0.646,0.525,0.311
Region 1,Connecticut,Litchfield,5.12,0.694,0.224,0.489,0.657,0.431
Region 1,Connecticut,Middlesex,1.979,0.635,0.42,0.396,0.598,0.439
Region 1,Connecticut,New Haven,2.145,0.609,0.491,0.659,0.499,0.403
Region 1,Connecticut,New London,3.612,0.619,0.273,0.587,0.49,0.433
Region 1,Connecticut,Tolland,2.314,0.721,0.306,0.341,0.551,0.403
Region 1,Connecticut,Windham,2.568,0.663,0.289,0.37,0.561,0.42
Region 1,Maine,Maine,12.708,0.677,0.115,0.499,0.565,0.484
Region 1,Maine,Androscoggin,4.158,0.635,0.174,0.424,0.565,0.365
Region 1,Maine,Aroostook,14.019,0.687,0.101,0.744,0.546,0.413
Region 1,Maine,Cumberland,5.505,0.718,0.298,0.671,0.615,0.525
Region 1,Maine,Franklin,9.593,0.678,0.094,0.49,0.502,0.421
Region 1,Maine,Hancock,35.399,0.67,0.038,0.543,0.559,0.603
Region 1,Maine,Kennebec,6.912,0.653,0.145,0.533,0.581,0.395
Region 1,Maine,Knox,11.639,0.531,0.076,0.344,0.621,0.617
Region 1,Maine,Lincoln,13.316,0.772,0.08,0.309,0.613,0.548
Region 1,Maine,Oxford,7.163,0.644,0.116,0.505,0.505,0.388
Region 1,Maine,Penobscot,13.514,0.652,0.104,0.786,0.565,0.39
Region 1,Maine,Piscataquis,10.37,0.673,0.075,0.342,0.524,0.491
Region 1,Maine,Sagadahoc,7.603,0.722,0.126,0.304,0.615,0.534
Region 1,Maine,Somerset,15.131,0.759,0.081,0.542,0.523,0.463
Region 1,Maine,Waldo,28.446,0.684,0.032,0.41,0.538,0.486
Region 1,Maine,Washington,14.359,0.672,0.092,0.483,0.628,0.588
Region 1,Maine,York,6.2,0.685,0.201,0.553,0.547,0.516
Region 1,Massachusetts,Massachusetts,5.041,0.602,0.361,0.557,0.601,0.447
Region 1,Massachusetts,Barnstable,6.836,0.627,0.197,0.585,0.58,0.591
Region 1,Massachusetts,Berkshire,5.571,0.633,0.202,0.552,0.671,0.402
Region 1,Massachusetts,Bristol,2.111,0.643,0.523,0.572,0.552,0.451
Region 1,Massachusetts,Dukes,21.827,0.538,0.045,0.289,0.811,0.595
Region 1,Massachusetts,Essex,2.504,0.642,0.537,0.671,0.565,0.487
Region 1,Massachusetts,Franklin,8.874,0.701,0.147,0.542,0.707,0.419
Region 1,Massachusetts,Hampden,1.666,0.606,0.576,0.649,0.517,0.34
Region 1,Massachusetts,Hampshire,3.205,0.523,0.197,0.429,0.563,0.389
Region 1,Massachusetts,Middlesex,2.2,0.66,0.591,0.819,0.585,0.259
Region 1,Massachusetts,Nantucket,6.526,0.323,0.06,0.22,0.572,0.609
Region 1,Massachusetts,Norfolk,2.315,0.621,0.497,0.633,0.618,0.387
