,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
0,National Average,4.321,0.597,0.229,0.393,0.516,0.413
2,Region 1,7.53,0.66,0.24,0.492,0.599,0.445
4,Connecticut,2.661,0.654,0.395,0.52,0.547,0.398
6,Fairfield,1.981,0.621,0.508,0.675,0.494,0.346
8,Hartford,1.568,0.671,0.65,0.646,0.525,0.311
10,Litchfield,5.12,0.694,0.224,0.489,0.657,0.431
12,Middlesex,1.979,0.635,0.42,0.396,0.598,0.439
14,New Haven,2.145,0.609,0.491,0.659,0.499,0.403
16,New London,3.612,0.619,0.273,0.587,0.49,0.433
18,Tolland,2.314,0.721,0.306,0.341,0.551,0.403
20,Windham,2.568,0.663,0.289,0.37,0.561,0.42
21,Maine,12.708,0.677,0.115,0.499,0.565,0.484
23,Androscoggin,4.158,0.635,0.174,0.424,0.565,0.365
25,Aroostook,14.019,0.687,0.101,0.744,0.546,0.413
27,Cumberland,5.505,0.718,0.298,0.671,0.615,0.525
29,Franklin,9.593,0.678,0.094,0.49,0.502,0.421
31,Hancock,35.399,0.67,0.038,0.543,0.559,0.603
33,Kennebec,6.912,0.653,0.145,0.533,0.581,0.395
35,Knox,11.639,0.531,0.076,0.344,0.621,0.617
37,Lincoln,13.316,0.772,0.08,0.309,0.613,0.548
39,Oxford,7.163,0.644,0.116,0.505,0.505,0.388
41,Penobscot,13.514,0.652,0.104,0.786,0.565,0.39
43,Piscataquis,10.37,0.673,0.075,0.342,0.524,0.491
45,Sagadahoc,7.603,0.722,0.126,0.304,0.615,0.534
47,Somerset,15.131,0.759,0.081,0.542,0.523,0.463
49,Waldo,28.446,0.684,0.032,0.41,0.538,0.486
51,Washington,14.359,0.672,0.092,0.483,0.628,0.588
53,York,6.2,0.685,0.201,0.553,0.547,0.516
57,Massachusetts,5.041,0.602,0.361,0.557,0.601,0.447
59,Barnstable,6.836,0.627,0.197,0.585,0.58,0.591
61,Berkshire,5.571,0.633,0.202,0.552,0.671,0.402
63,Bristol,2.111,0.643,0.523,0.572,0.552,0.451
65,Dukes,21.827,0.538,0.045,0.289,0.811,0.595
67,Essex,2.504,0.642,0.537,0.671,0.565,0.487
75,Franklin,8.874,0.701,0.147,0.542,0.707,0.419
77,Hampden,1.666,0.606,0.576,0.649,0.517,0.34
79,Hampshire,3.205,0.523,0.197,0.429,0.563,0.389
81,Middlesex,2.2,0.66,0.591,0.819,0.585,0.259
83,Nantucket,6.526,0.323,0.06,0.22,0.572,0.609
85,Norfolk,2.315,0.621,0.497,0.633,0.618,0.387
87,Plymouth,2.847,0.624,0.469,0.614,0.598,0.542
89,Suffolk,1.495,0.648,0.465,0.417,0.465,0.426
91,Worcester,2.596,0.646,0.55,0.804,0.604,0.359
95,New Hampshire,6.561,0.67,0.229,0.519,0.596,0.421
97,Belknap,4.773,0.656,0.151,0.35,0.621,0.385
99,Carroll,5.716,0.668,0.169,0.441,0.599,0.445
101,Cheshire,7.642,0.62,0.108,0.457,0.574,0.4
103,Coos,12.682,0.699,0.112,0.536,0.64,0.549
105,Grafton,11.672,0.638,0.129,0.785,0.571,0.468
107,Hillsborough,2.559,0.722,0.461,0.631,0.574,0.334
109,Merrimack,10.688,0.718,0.149,0.667,0.728,0.41
111,Rockingham,2.066,0.691,0.555,0.578,0.554,0.42
113,Strafford,1.916,0.626,0.338,0.38,0.505,0.419
115,Sullivan,5.9,0.665,0.12,0.363,0.594,0.379
119,Rhode Island,2.479,0.627,0.372,0.302,0.586,0.511
121,Bristol,1.015,0.522,0.385,0.11,0.584,0.531
123,Kent,1.275,0.708,0.51,0.24,0.605,0.443
125,Newport,4.139,0.669,0.207,0.232,0.551,0.643
127,Providence,1.642,0.639,0.51,0.535,0.551,0.326
129,Washington,4.322,0.595,0.248,0.391,0.637,0.614
133,Vermont,9.382,0.708,0.135,0.45,0.671,0.417
135,Addison,17.298,0.825,0.089,0.473,0.712,0.49
137,Bennington,7.519,0.763,0.154,0.435,0.613,0.469
139,Caledonia,9.771,0.686,0.115,0.401,0.815,0.396
141,Chittenden,5.495,0.754,0.261,0.661,0.604,0.387
143,Essex,12.333,0.78,0.074,0.327,0.468,0.56
145,Franklin,3.66,0.649,0.242,0.427,0.651,0.386
147,Grand Isle,12.838,0.677,0.063,0.334,0.714,0.365
149,Lamoille,10.944,0.619,0.08,0.389,0.665,0.438
151,Orange,6.894,0.751,0.14,0.4,0.689,0.351
153,Orleans,7.13,0.732,0.185,0.436,0.793,0.439
155,Rutland,11.762,0.595,0.09,0.52,0.662,0.441
163,Washington,9.925,0.681,0.11,0.469,0.72,0.381
165,Windham,10.089,0.753,0.104,0.467,0.638,0.364
167,Windsor,5.687,0.64,0.188,0.558,0.651,0.367
175,Region 2,3.839,0.658,0.308,0.469,0.52,0.385
177,New Jersey,1.762,0.639,0.488,0.471,0.518,0.397
179,Atlantic,1.964,0.633,0.477,0.52,0.431,0.507
181,Bergen,0.928,0.61,0.582,0.464,0.586,0.202
183,Burlington,2.458,0.675,0.538,0.567,0.547,0.558
185,Camden,1.032,0.606,0.532,0.444,0.506,0.296
187,Cape May,2.18,0.609,0.382,0.401,0.462,0.565
189,Cumberland,2.657,0.598,0.313,0.437,0.444,0.549
191,Essex,0.637,0.618,0.519,0.467,0.531,0.1
193,Gloucester,1.137,0.571,0.553,0.453,0.489,0.379
195,Hudson,0.659,0.618,0.525,0.402,0.465,0.233
197,Hunterdon,2.868,0.644,0.386,0.512,0.598,0.48
199,Mercer,1.269,0.599,0.496,0.448,0.492,0.362
201,Middlesex,1.638,0.646,0.522,0.601,0.561,0.253
203,Monmouth,1.618,0.627,0.728,0.615,0.534,0.485
205,Morris,2.197,0.672,0.511,0.524,0.595,0.449
207,Ocean,1.517,0.675,0.806,0.596,0.448,0.546
209,Passaic,1.447,0.642,0.494,0.384,0.522,0.432
211,Salem,3.527,0.708,0.209,0.338,0.459,0.503
213,Somerset,1.457,0.679,0.585,0.486,0.573,0.339
215,Sussex,2.147,0.652,0.406,0.405,0.563,0.468
217,Union,0.878,0.652,0.337,0.388,0.561,0.129
219,Warren,2.795,0.679,0.339,0.441,0.513,0.493
221,New York,4.542,0.665,0.248,0.469,0.521,0.381
223,Albany,2.354,0.693,0.455,0.542,0.639,0.343
225,Allegany,4.919,0.657,0.118,0.482,0.385,0.343
227,Bronx,0.121,0.668,0.529,0.297,0.409,0.203
229,Broome,2.075,0.689,0.381,0.505,0.497,0.335
231,Cattaraugus,5.133,0.657,0.186,0.56,0.421,0.46
